
  0% | 0/18 | ?it/s
T50/51, E194/250 => loss: 0.473: :   0% | 0/18 | ?it/s
T50/51, E194/250 => loss: 0.473: :   6% | 1/18 |  9.87it/s
T50/51, E194/250 => loss: 0.472: :   6% | 1/18 |  9.87it/s
T50/51, E194/250 => loss: 0.472: :  11% | 2/18 |  9.62it/s
T50/51, E194/250 => loss: 0.472: :  11% | 2/18 |  9.62it/s
T50/51, E194/250 => loss: 0.472: :  17% | 3/18 |  9.44it/s
T50/51, E194/250 => loss: 0.472: :  17% | 3/18 |  9.44it/s
T50/51, E194/250 => loss: 0.472: :  22% | 4/18 |  9.32it/s
T50/51, E194/250 => loss: 0.471: :  22% | 4/18 |  9.32it/s
T50/51, E194/250 => loss: 0.471: :  28% | 5/18 |  9.24it/s
T50/51, E194/250 => loss: 0.473: :  28% | 5/18 |  9.24it/s
T50/51, E194/250 => loss: 0.473: :  33% | 6/18 |  9.18it/s
T50/51, E194/250 => loss: 0.472: :  33% | 6/18 |  9.18it/s
T50/51, E194/250 => loss: 0.472: :  39% | 7/18 |  9.15it/s
T50/51, E194/250 => loss: 0.472: :  39% | 7/18 |  9.15it/s
T50/51, E194/250 => loss: 0.472: :  44% | 8/18 |  9.13it/s
T50/51, E194/250 => loss: 0.471: :  44% | 8/18 |  9.13it/s
T50/51, E194/250 => loss: 0.471: :  50% | 9/18 |  9.12it/s
T50/51, E194/250 => loss: 0.471: :  50% | 9/18 |  9.12it/s
T50/51, E194/250 => loss: 0.471: :  56% | 10/18 |  9.09it/s
T50/51, E194/250 => loss: 0.471: :  56% | 10/18 |  9.09it/s
T50/51, E194/250 => loss: 0.471: :  61% | 11/18 |  9.06it/s
T50/51, E194/250 => loss: 0.471: :  61% | 11/18 |  9.06it/s
T50/51, E194/250 => loss: 0.471: :  67% | 12/18 |  9.04it/s
T50/51, E194/250 => loss: 0.471: :  67% | 12/18 |  9.04it/s
T50/51, E194/250 => loss: 0.471: :  72% | 13/18 |  9.03it/s
T50/51, E194/250 => loss: 0.471: :  72% | 13/18 |  9.03it/s
T50/51, E194/250 => loss: 0.471: :  78% | 14/18 |  9.01it/s
T50/51, E194/250 => loss: 0.471: :  78% | 14/18 |  9.01it/s
T50/51, E194/250 => loss: 0.471: :  83% | 15/18 |  9.01it/s
T50/51, E194/250 => loss: 0.47: :  83% | 15/18 |  9.01it/s 
T50/51, E194/250 => loss: 0.47: :  89% | 16/18 |  9.01it/s
T50/51, E194/250 => loss: 0.47: :  89% | 16/18 |  9.01it/s
T50/51, E194/250 => loss: 0.47: :  94% | 17/18 |  9.02it/s
T50/51, E194/250 => loss: 0.471: :  94% | 17/18 |  9.02it/s
T50/51, E194/250 => loss: 0.471: : 100% | 18/18 |  9.27it/s

  0% | 0/18 | ?it/s
T50/51, E195/250 => loss: 0.465: :   0% | 0/18 | ?it/s
T50/51, E195/250 => loss: 0.465: :   6% | 1/18 |  9.87it/s
T50/51, E195/250 => loss: 0.466: :   6% | 1/18 |  9.87it/s
T50/51, E195/250 => loss: 0.466: :  11% | 2/18 |  9.64it/s
T50/51, E195/250 => loss: 0.466: :  11% | 2/18 |  9.64it/s
T50/51, E195/250 => loss: 0.466: :  17% | 3/18 |  9.46it/s
T50/51, E195/250 => loss: 0.467: :  17% | 3/18 |  9.46it/s
T50/51, E195/250 => loss: 0.467: :  22% | 4/18 |  9.37it/s
T50/51, E195/250 => loss: 0.467: :  22% | 4/18 |  9.37it/s
T50/51, E195/250 => loss: 0.467: :  28% | 5/18 |  9.31it/s
T50/51, E195/250 => loss: 0.469: :  28% | 5/18 |  9.31it/s
T50/51, E195/250 => loss: 0.469: :  33% | 6/18 |  9.28it/s
T50/51, E195/250 => loss: 0.469: :  33% | 6/18 |  9.28it/s
T50/51, E195/250 => loss: 0.469: :  39% | 7/18 |  9.26it/s
T50/51, E195/250 => loss: 0.468: :  39% | 7/18 |  9.26it/s
T50/51, E195/250 => loss: 0.468: :  44% | 8/18 |  9.25it/s
T50/51, E195/250 => loss: 0.469: :  44% | 8/18 |  9.25it/s
T50/51, E195/250 => loss: 0.469: :  50% | 9/18 |  9.25it/s
T50/51, E195/250 => loss: 0.469: :  50% | 9/18 |  9.25it/s
T50/51, E195/250 => loss: 0.469: :  56% | 10/18 |  9.24it/s
T50/51, E195/250 => loss: 0.469: :  56% | 10/18 |  9.24it/s
T50/51, E195/250 => loss: 0.469: :  61% | 11/18 |  9.23it/s
T50/51, E195/250 => loss: 0.47: :  61% | 11/18 |  9.23it/s 
T50/51, E195/250 => loss: 0.47: :  67% | 12/18 |  9.21it/s
T50/51, E195/250 => loss: 0.47: :  67% | 12/18 |  9.21it/s
T50/51, E195/250 => loss: 0.47: :  72% | 13/18 |  9.16it/s
T50/51, E195/250 => loss: 0.47: :  72% | 13/18 |  9.16it/s
T50/51, E195/250 => loss: 0.47: :  78% | 14/18 |  9.12it/s
T50/51, E195/250 => loss: 0.469: :  78% | 14/18 |  9.12it/s
T50/51, E195/250 => loss: 0.469: :  83% | 15/18 |  9.09it/s
T50/51, E195/250 => loss: 0.469: :  83% | 15/18 |  9.09it/s
T50/51, E195/250 => loss: 0.469: :  89% | 16/18 |  9.05it/s
T50/51, E195/250 => loss: 0.47: :  89% | 16/18 |  9.05it/s 
T50/51, E195/250 => loss: 0.47: :  94% | 17/18 |  9.01it/s
T50/51, E195/250 => loss: 0.47: :  94% | 17/18 |  9.01it/s
T50/51, E195/250 => loss: 0.47: : 100% | 18/18 |  9.36it/s

  0% | 0/18 | ?it/s
T50/51, E196/250 => loss: 0.47: :   0% | 0/18 | ?it/s
T50/51, E196/250 => loss: 0.47: :   6% | 1/18 |  9.61it/s
T50/51, E196/250 => loss: 0.472: :   6% | 1/18 |  9.61it/s
T50/51, E196/250 => loss: 0.472: :  11% | 2/18 |  9.48it/s
