
  0% | 0/20 | ?it/s
T50/51, E85/160 => nca: 0.061, flat: 0.234, pod: 3.33, loss: 3.625: :  25% | 5/20 |  5.21it/s 
T50/51, E85/160 => nca: 0.061, flat: 0.234, pod: 3.33, loss: 3.625: :  30% | 6/20 |  5.37it/s
T50/51, E85/160 => nca: 0.061, flat: 0.235, pod: 3.302, loss: 3.598: :  30% | 6/20 |  5.37it/s
T50/51, E85/160 => nca: 0.061, flat: 0.235, pod: 3.302, loss: 3.598: :  35% | 7/20 |  5.51it/s
T50/51, E85/160 => nca: 0.059, flat: 0.239, pod: 3.331, loss: 3.629: :  35% | 7/20 |  5.51it/s
T50/51, E85/160 => nca: 0.059, flat: 0.239, pod: 3.331, loss: 3.629: :  40% | 8/20 |  5.62it/s
T50/51, E85/160 => nca: 0.058, flat: 0.24, pod: 3.321, loss: 3.619: :  40% | 8/20 |  5.62it/s 
T50/51, E85/160 => nca: 0.058, flat: 0.24, pod: 3.321, loss: 3.619: :  45% | 9/20 |  5.70it/s
T50/51, E85/160 => nca: 0.057, flat: 0.237, pod: 3.319, loss: 3.613: :  45% | 9/20 |  5.70it/s
T50/51, E85/160 => nca: 0.057, flat: 0.237, pod: 3.319, loss: 3.613: :  50% | 10/20 |  5.75it/s
T50/51, E85/160 => nca: 0.057, flat: 0.236, pod: 3.31, loss: 3.603: :  50% | 10/20 |  5.75it/s 
T50/51, E85/160 => nca: 0.057, flat: 0.236, pod: 3.31, loss: 3.603: :  55% | 11/20 |  5.79it/s
T50/51, E85/160 => nca: 0.056, flat: 0.235, pod: 3.289, loss: 3.58: :  55% | 11/20 |  5.79it/s
T50/51, E85/160 => nca: 0.056, flat: 0.235, pod: 3.289, loss: 3.58: :  60% | 12/20 |  5.83it/s
T50/51, E85/160 => nca: 0.055, flat: 0.233, pod: 3.281, loss: 3.57: :  60% | 12/20 |  5.83it/s
T50/51, E85/160 => nca: 0.055, flat: 0.233, pod: 3.281, loss: 3.57: :  65% | 13/20 |  5.85it/s
T50/51, E85/160 => nca: 0.055, flat: 0.234, pod: 3.291, loss: 3.58: :  65% | 13/20 |  5.85it/s
T50/51, E85/160 => nca: 0.055, flat: 0.234, pod: 3.291, loss: 3.58: :  70% | 14/20 |  5.88it/s
T50/51, E85/160 => nca: 0.056, flat: 0.231, pod: 3.276, loss: 3.563: :  70% | 14/20 |  5.88it/s
T50/51, E85/160 => nca: 0.056, flat: 0.231, pod: 3.276, loss: 3.563: :  75% | 15/20 |  5.81it/s
T50/51, E85/160 => nca: 0.056, flat: 0.229, pod: 3.27, loss: 3.555: :  75% | 15/20 |  5.81it/s 
T50/51, E85/160 => nca: 0.056, flat: 0.229, pod: 3.27, loss: 3.555: :  80% | 16/20 |  5.70it/s
T50/51, E85/160 => nca: 0.057, flat: 0.229, pod: 3.273, loss: 3.559: :  80% | 16/20 |  5.70it/s
T50/51, E85/160 => nca: 0.057, flat: 0.229, pod: 3.273, loss: 3.559: :  85% | 17/20 |  5.75it/s
T50/51, E85/160 => nca: 0.059, flat: 0.228, pod: 3.256, loss: 3.543: :  85% | 17/20 |  5.75it/s
T50/51, E85/160 => nca: 0.059, flat: 0.228, pod: 3.256, loss: 3.543: :  90% | 18/20 |  5.78it/s
T50/51, E85/160 => nca: 0.058, flat: 0.227, pod: 3.264, loss: 3.55: :  90% | 18/20 |  5.78it/s 
T50/51, E85/160 => nca: 0.058, flat: 0.227, pod: 3.264, loss: 3.55: :  95% | 19/20 |  5.80it/s
T50/51, E85/160 => nca: 0.062, flat: 0.243, pod: 3.368, loss: 3.674: :  95% | 19/20 |  5.80it/s
T50/51, E85/160 => nca: 0.062, flat: 0.243, pod: 3.368, loss: 3.674: : 100% | 20/20 |  6.48it/s
T50/51, E85/160 => nca: 0.062, flat: 0.243, pod: 3.368, loss: 3.674: : 100% | 20/20 |  5.76it/s

  0% | 0/20 | ?it/s
T50/51, E86/160 => nca: 0.041, flat: 0.194, pod: 3.024, loss: 3.259: :   0% | 0/20 | ?it/s
T50/51, E86/160 => nca: 0.041, flat: 0.194, pod: 3.024, loss: 3.259: :   5% | 1/20 |  5.65it/s
T50/51, E86/160 => nca: 0.057, flat: 0.21, pod: 3.002, loss: 3.269: :   5% | 1/20 |  5.65it/s 
T50/51, E86/160 => nca: 0.057, flat: 0.21, pod: 3.002, loss: 3.269: :  10% | 2/20 |  5.32it/s
T50/51, E86/160 => nca: 0.065, flat: 0.227, pod: 3.162, loss: 3.454: :  10% | 2/20 |  5.32it/s
T50/51, E86/160 => nca: 0.065, flat: 0.227, pod: 3.162, loss: 3.454: :  15% | 3/20 |  5.26it/s
T50/51, E86/160 => nca: 0.061, flat: 0.234, pod: 3.185, loss: 3.479: :  15% | 3/20 |  5.26it/s
T50/51, E86/160 => nca: 0.061, flat: 0.234, pod: 3.185, loss: 3.479: :  20% | 4/20 |  5.20it/s
T50/51, E86/160 => nca: 0.064, flat: 0.251, pod: 3.203, loss: 3.517: :  20% | 4/20 |  5.20it/s
T50/51, E86/160 => nca: 0.064, flat: 0.251, pod: 3.203, loss: 3.517: :  25% | 5/20 |  5.22it/s
T50/51, E86/160 => nca: 0.064, flat: 0.252, pod: 3.251, loss: 3.568: :  25% | 5/20 |  5.22it/s
T50/51, E86/160 => nca: 0.064, flat: 0.252, pod: 3.251, loss: 3.568: :  30% | 6/20 |  5.23it/s
T50/51, E86/160 => nca: 0.068, flat: 0.254, pod: 3.255, loss: 3.577: :  30% | 6/20 |  5.23it/s
T50/51, E86/160 => nca: 0.068, flat: 0.254, pod: 3.255, loss: 3.577: :  35% | 7/20 |  5.23it/s
T50/51, E86/160 => nca: 0.07, flat: 0.254, pod: 3.281, loss: 3.604: :  35% | 7/20 |  5.23it/s 
T50/51, E86/160 => nca: 0.07, flat: 0.254, pod: 3.281, loss: 3.604: :  40% | 8/20 |  5.21it/s
T50/51, E86/160 => nca: 0.066, flat: 0.258, pod: 3.359, loss: 3.684: :  40% | 8/20 |  5.21it/s
T50/51, E86/160 => nca: 0.066, flat: 0.258, pod: 3.359, loss: 3.684: :  45% | 9/20 |  5.20it/s
T50/51, E86/160 => nca: 0.065, flat: 0.26, pod: 3.39, loss: 3.715: :  45% | 9/20 |  5.20it/s  
T50/51, E86/160 => nca: 0.065, flat: 0.26, pod: 3.39, loss: 3.715: :  50% | 10/20 |  5.22it/s
T50/51, E86/160 => nca: 0.065, flat: 0.26, pod: 3.402, loss: 3.726: :  50% | 10/20 |  5.22it/s
T50/51, E86/160 => nca: 0.065, flat: 0.26, pod: 3.402, loss: 3.726: :  55% | 11/20 |  5.24it/s
T50/51, E86/160 => nca: 0.064, flat: 0.258, pod: 3.407, loss: 3.729: :  55% | 11/20 |  5.24it/s
T50/51, E86/160 => nca: 0.064, flat: 0.258, pod: 3.407, loss: 3.729: :  60% | 12/20 |  5.22it/s
T50/51, E86/160 => nca: 0.064, flat: 0.255, pod: 3.392, loss: 3.711: :  60% | 12/20 |  5.22it/s
T50/51, E86/160 => nca: 0.064, flat: 0.255, pod: 3.392, loss: 3.711: :  65% | 13/20 |  5.22it/s
T50/51, E86/160 => nca: 0.063, flat: 0.253, pod: 3.38, loss: 3.696: :  65% | 13/20 |  5.22it/s 
T50/51, E86/160 => nca: 0.063, flat: 0.253, pod: 3.38, loss: 3.696: :  70% | 14/20 |  5.23it/s
T50/51, E86/160 => nca: 0.063, flat: 0.252, pod: 3.378, loss: 3.693: :  70% | 14/20 |  5.23it/s
T50/51, E86/160 => nca: 0.063, flat: 0.252, pod: 3.378, loss: 3.693: :  75% | 15/20 |  5.22it/s
T50/51, E86/160 => nca: 0.062, flat: 0.249, pod: 3.36, loss: 3.672: :  75% | 15/20 |  5.22it/s 
T50/51, E86/160 => nca: 0.062, flat: 0.249, pod: 3.36, loss: 3.672: :  80% | 16/20 |  5.22it/s
T50/51, E86/160 => nca: 0.063, flat: 0.249, pod: 3.354, loss: 3.666: :  80% | 16/20 |  5.22it/s
T50/51, E86/160 => nca: 0.063, flat: 0.249, pod: 3.354, loss: 3.666: :  85% | 17/20 |  5.18it/s
T50/51, E86/160 => nca: 0.061, flat: 0.248, pod: 3.343, loss: 3.652: :  85% | 17/20 |  5.18it/s
T50/51, E86/160 => nca: 0.061, flat: 0.248, pod: 3.343, loss: 3.652: :  90% | 18/20 |  5.14it/s
T50/51, E86/160 => nca: 0.061, flat: 0.247, pod: 3.334, loss: 3.642: :  90% | 18/20 |  5.14it/s
T50/51, E86/160 => nca: 0.061, flat: 0.247, pod: 3.334, loss: 3.642: :  95% | 19/20 |  5.15it/s
T50/51, E86/160 => nca: 0.068, flat: 0.261, pod: 3.448, loss: 3.777: :  95% | 19/20 |  5.15it/s
T50/51, E86/160 => nca: 0.068, flat: 0.261, pod: 3.448, loss: 3.777: : 100% | 20/20 |  5.70it/s
T50/51, E86/160 => nca: 0.068, flat: 0.261, pod: 3.448, loss: 3.777: : 100% | 20/20 |  5.26it/s

  0% | 0/20 | ?it/s
T50/51, E87/160 => nca: 0.039, flat: 0.205, pod: 3.038, loss: 3.283: :   0% | 0/20 | ?it/s
T50/51, E87/160 => nca: 0.039, flat: 0.205, pod: 3.038, loss: 3.283: :   5% | 1/20 |  5.01it/s
T50/51, E87/160 => nca: 0.049, flat: 0.228, pod: 3.223, loss: 3.499: :   5% | 1/20 |  5.01it/s
T50/51, E87/160 => nca: 0.049, flat: 0.228, pod: 3.223, loss: 3.499: :  10% | 2/20 |  5.08it/s
T50/51, E87/160 => nca: 0.05, flat: 0.246, pod: 3.304, loss: 3.6: :  10% | 2/20 |  5.08it/s   
T50/51, E87/160 => nca: 0.05, flat: 0.246, pod: 3.304, loss: 3.6: :  15% | 3/20 |  5.12it/s
T50/51, E87/160 => nca: 0.052, flat: 0.262, pod: 3.366, loss: 3.68: :  15% | 3/20 |  5.12it/s
T50/51, E87/160 => nca: 0.052, flat: 0.262, pod: 3.366, loss: 3.68: :  20% | 4/20 |  5.14it/s
T50/51, E87/160 => nca: 0.055, flat: 0.27, pod: 3.363, loss: 3.688: :  20% | 4/20 |  5.14it/s
T50/51, E87/160 => nca: 0.055, flat: 0.27, pod: 3.363, loss: 3.688: :  25% | 5/20 |  5.15it/s
T50/51, E87/160 => nca: 0.052, flat: 0.267, pod: 3.399, loss: 3.718: :  25% | 5/20 |  5.15it/s
T50/51, E87/160 => nca: 0.052, flat: 0.267, pod: 3.399, loss: 3.718: :  30% | 6/20 |  5.18it/s
T50/51, E87/160 => nca: 0.051, flat: 0.267, pod: 3.38, loss: 3.698: :  30% | 6/20 |  5.18it/s 
T50/51, E87/160 => nca: 0.051, flat: 0.267, pod: 3.38, loss: 3.698: :  35% | 7/20 |  5.21it/s
T50/51, E87/160 => nca: 0.051, flat: 0.271, pod: 3.37, loss: 3.693: :  35% | 7/20 |  5.21it/s
T50/51, E87/160 => nca: 0.051, flat: 0.271, pod: 3.37, loss: 3.693: :  40% | 8/20 |  5.22it/s
T50/51, E87/160 => nca: 0.053, flat: 0.274, pod: 3.377, loss: 3.704: :  40% | 8/20 |  5.22it/s
T50/51, E87/160 => nca: 0.053, flat: 0.274, pod: 3.377, loss: 3.704: :  45% | 9/20 |  5.21it/s
T50/51, E87/160 => nca: 0.055, flat: 0.272, pod: 3.402, loss: 3.73: :  45% | 9/20 |  5.21it/s 
T50/51, E87/160 => nca: 0.055, flat: 0.272, pod: 3.402, loss: 3.73: :  50% | 10/20 |  5.21it/s
T50/51, E87/160 => nca: 0.056, flat: 0.27, pod: 3.408, loss: 3.733: :  50% | 10/20 |  5.21it/s
T50/51, E87/160 => nca: 0.056, flat: 0.27, pod: 3.408, loss: 3.733: :  55% | 11/20 |  5.21it/s
T50/51, E87/160 => nca: 0.058, flat: 0.272, pod: 3.43, loss: 3.759: :  55% | 11/20 |  5.21it/s
T50/51, E87/160 => nca: 0.058, flat: 0.272, pod: 3.43, loss: 3.759: :  60% | 12/20 |  5.22it/s
T50/51, E87/160 => nca: 0.06, flat: 0.268, pod: 3.424, loss: 3.752: :  60% | 12/20 |  5.22it/s
T50/51, E87/160 => nca: 0.06, flat: 0.268, pod: 3.424, loss: 3.752: :  65% | 13/20 |  5.22it/s
T50/51, E87/160 => nca: 0.06, flat: 0.266, pod: 3.425, loss: 3.752: :  65% | 13/20 |  5.22it/s
T50/51, E87/160 => nca: 0.06, flat: 0.266, pod: 3.425, loss: 3.752: :  70% | 14/20 |  5.22it/s
T50/51, E87/160 => nca: 0.061, flat: 0.266, pod: 3.409, loss: 3.735: :  70% | 14/20 |  5.22it/s
T50/51, E87/160 => nca: 0.061, flat: 0.266, pod: 3.409, loss: 3.735: :  75% | 15/20 |  5.18it/s
T50/51, E87/160 => nca: 0.061, flat: 0.263, pod: 3.409, loss: 3.732: :  75% | 15/20 |  5.18it/s
T50/51, E87/160 => nca: 0.061, flat: 0.263, pod: 3.409, loss: 3.732: :  80% | 16/20 |  5.13it/s
T50/51, E87/160 => nca: 0.06, flat: 0.263, pod: 3.4, loss: 3.723: :  80% | 16/20 |  5.13it/s   
T50/51, E87/160 => nca: 0.06, flat: 0.263, pod: 3.4, loss: 3.723: :  85% | 17/20 |  5.16it/s
T50/51, E87/160 => nca: 0.059, flat: 0.261, pod: 3.386, loss: 3.707: :  85% | 17/20 |  5.16it/s
T50/51, E87/160 => nca: 0.059, flat: 0.261, pod: 3.386, loss: 3.707: :  90% | 18/20 |  5.16it/s
T50/51, E87/160 => nca: 0.059, flat: 0.259, pod: 3.371, loss: 3.689: :  90% | 18/20 |  5.16it/s
T50/51, E87/160 => nca: 0.059, flat: 0.259, pod: 3.371, loss: 3.689: :  95% | 19/20 |  5.17it/s
T50/51, E87/160 => nca: 0.059, flat: 0.266, pod: 3.409, loss: 3.733: :  95% | 19/20 |  5.17it/s
T50/51, E87/160 => nca: 0.059, flat: 0.266, pod: 3.409, loss: 3.733: : 100% | 20/20 |  5.65it/s
T50/51, E87/160 => nca: 0.059, flat: 0.266, pod: 3.409, loss: 3.733: : 100% | 20/20 |  5.26it/s

  0% | 0/20 | ?it/s
T50/51, E88/160 => nca: 0.038, flat: 0.217, pod: 3.371, loss: 3.625: :   0% | 0/20 | ?it/s
T50/51, E88/160 => nca: 0.038, flat: 0.217, pod: 3.371, loss: 3.625: :   5% | 1/20 |  4.97it/s
